question,answer
What is a wire transfer?,"A wire transfer is an electronic transfer of money from one bank account to another, often used for large or urgent payments.",
What are the costs associated with wire transfers?,Wire transfers may have fees for sending and sometimes for receiving money.,
What is a budgeting envelope system?,A budgeting envelope system uses physical envelopes to allocate cash for different spending categories.,
What are the steps to create a budget?,"Steps: track income, list expenses, set spending limits, monitor spending, adjust as needed.",
What is discretionary spending?,Discretionary spending is money spent on non-essential items or activities.,
How do you track spending manually?,You can track spending manually by writing down all purchases in a notebook or spreadsheet.,
What are the advantages of automatic savings?,Automatic savings help build money consistently without needing to remember to transfer funds.,
What is a money market account?,A money market account is a savings account with higher interest rates and limited check-writing abilities.,
What are Treasury bonds?,Treasury bonds are government debt securities with fixed interest paid over a long term.,
What is inflation risk?,Inflation risk is the chance that inflation will reduce the purchasing power of your money.,
What is deflation?,"Deflation is a decrease in general price levels, increasing money’s purchasing power.",
What is a financial bubble?,A financial bubble occurs when asset prices rise rapidly beyond their true value and then crash.,
What is insider trading?,"Insider trading is illegally buying or selling stocks based on confidential, non-public information.",
What is financial regulation?,Financial regulation refers to rules and laws that govern financial institutions and markets to ensure fairness and stability.,
What is the role of the SEC?,The SEC (Securities and Exchange Commission) enforces securities laws and protects investors.,
What is an IPO?,An IPO (Initial Public Offering) is when a company first sells its shares to the public.,
What is the difference between stocks and bonds?,Stocks represent ownership in a company; bonds are loans made to companies or governments.,
What are municipal bonds?,"Municipal bonds are debt securities issued by local governments, often tax-exempt.",
What is a credit freeze?,A credit freeze restricts access to your credit report to prevent new accounts being opened without permission.,
What is the difference between gross pay and take-home pay?,Gross pay is your total earnings before deductions; take-home pay is what you receive after deductions.,
What is a W-4 form?,A W-4 form tells your employer how much tax to withhold from your paycheck.,
What is earned income tax credit?,Earned Income Tax Credit (EITC) is a refundable tax credit for low to moderate-income workers.,
What is a tax refund?,A tax refund is money returned to you when you’ve paid more taxes than you owe.,
What is a 1099 form?,A 1099 form reports income earned from self-employment or other non-employee sources.,
What is the difference between taxable and non-taxable income?,Taxable income is subject to tax; non-taxable income is exempt from taxation.,
What is payroll tax?,"Payroll tax funds Social Security and Medicare, deducted from employee wages.",
